internal,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
,physical,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,1,3.6545-63.3675i,-2.05706+24.1557i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.59744+39.9361i
1,2,-2.05706+24.1557i,64.6457-211.871i,-5.65956+65.7379i,,,,,,,,,,,,,,,,,,,,,,-56.9291+69.9414i,,,,,53.9011i,,,,,,,,,
2,3,,-5.65956+65.7379i,14.6906-186.843i,-2.85476+46.7741i,,,,,,,,,,,,,,-6.17631+74.6771i,,,,,,,,,,,,,,,,,,,,,
3,4,,,-2.85476+46.7741i,12.5076-201.571i,-4.86381+77.821i,,,,,,,,,-4.78899+77.2224i,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,,,,-4.86381+77.821i,40.6208-548.844i,-29.4118+382.353i,,-6.34518+88.8325i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,,,,,-29.4118+382.353i,46.8057-646.447i,-7.05882+108.235i,,,,-10.3352+121.069i,,,,,,,,,,,,,,,,,,,,37.3832i,,,,,,,,
6,7,,,,,,-7.05882+108.235i,25.8205-323.9i,-18.7617+215.76i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,,,,,-6.34518+88.8325i,,-18.7617+215.76i,26.8454-331.727i,-1.7385+27.4381i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,,,,,,,,-1.7385+27.4381i,3.33594-66.584i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.59744+39.9361i
9,10,,,,,,,,,,42.8954-504.725i,-21.4477+230.563i,,-21.4477+230.563i,,,,,,,,,,,,,,,,,,,46.729i,,,,,,,
10,11,,,,,,-10.3352+121.069i,,,,-21.4477+230.563i,32.6273-374.483i,-0.839376+22.8205i,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,,,,,,,,,,,-0.839376+22.8205i,1.66874-45.3688i,-0.839376+22.8205i,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,,,,,,,,,,-21.4477+230.563i,,-0.839376+22.8205i,31.0453-351.628i,-8.75316+98.2299i,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,,,,-4.78899+77.2224i,,,,,,,,,-8.75316+98.2299i,17.3386-220.882i,-3.79643+45.768i,,,,,,,,,,,,,,,,,,,,,,,,
14,15,,,,,,,,,,,,,,-3.79643+45.768i,13.8895-150.916i,-10.0931+105.417i,,,,,,,,,,,,,,,,,,,,,,,
15,16,,,,,,,,,,,,,,,-10.0931+105.417i,36.0258-510.428i,-8.78294+111.669i,,-4.17962+50.9391i,,-4.37421+73.8149i,,,-8.59599+169.054i,,,,,,,,,,,,,,,
16,17,,,,,,,,,,,,,,,,-8.78294+111.669i,23.4373-289.923i,-10.3352+121.069i,,,,,,,,,-4.31922+57.4789i,,,,,,,,,,,,
17,18,,,-6.17631+74.6771i,,,,,,,,,,,,,,-10.3352+121.069i,16.5115-195.573i,,,,,,,,,,,,,,,,,,,,,
18,19,,,,,,,,,,,,,,,,-4.17962+50.9391i,,,10.4674-176.475i,-3.45874+68.1866i,,,,,,,,,,,,,-3.23656+65.6559i,,,,,,
19,20,,,,,,,,,,,,,,,,,,,-3.45874+68.1866i,6.38791-126.711i,,,,,,,,,,,,,,-2.74614+54.9227i,,,,,
20,21,,,,,,,,,,,,,,,,-4.37421+73.8149i,,,,,8.44256-144.755i,-4.06835+71.1961i,,,,,,,,,,,,,,,,,
21,22,,,,,,,,,,,,,,,,,,,,,-4.06835+71.1961i,10.5534-241.297i,-6.48508+103.761i,,,,,,,,,,,,68.2245i,,,,
22,23,,,,,,,,,,,,,,,,,,,,,,-6.48508+103.761i,8.94953-168.7i,-1.78885+28.459i,,,,,,,,,,,,-0.675594+36.7523i,,,
23,24,,,,,,,,,,,,,,,,-8.59599+169.054i,,,,,,,-1.78885+28.459i,10.3848-197.299i,,,,,,,,,,,,,,,
24,25,,-56.9291+69.9414i,,,,,,,,,,,,,,,,,,,,,,,61.0268-141.27i,-3.03741+30.6588i,,,,,,,,,,,-1.08683+42.024i,,
25,26,,,,,,,,,,,,,,,,,,,,,,,,,-3.03741+30.6588i,12.8034-133.587i,-6.42055+67.4157i,-1.89825+20.9248i,-1.44716+15.868i,,,,,,,,,,
26,27,,,,,,,,,,,,,,,,,-4.31922+57.4789i,,,,,,,,,-6.42055+67.4157i,10.7398-124.614i,,,,,,,,,,,,
27,28,,,,,,,,,,,,,,,,,,,,,,,,,,-1.89825+20.9248i,,7.986-86.071i,-6.08775+65.6607i,,,,,,,,,,
28,29,,,,,,,,,,,,,,,,,,,,,,,,,,-1.44716+15.868i,,-6.08775+65.6607i,10.6556-141.743i,,,,,,,,,-3.19872+62.375i,
29,30,,53.9011i,,,,,,,,,,,,,,,,,,,,,,,,,,,,-55.2486i,,,,,,,,,
30,31,,,,,,37.3832i,,,,,,,,,,,,,,,,,,,,,,,,,-40i,,,,,,,,
31,32,,,,,,,,,,46.729i,,,,,,,,,,,,,,,,,,,,,,-50i,,,,,,,
32,33,,,,,,,,,,,,,,,,,,,-3.23656+65.6559i,,,,,,,,,,,,,,3.46312-70.2518i,,,,,,
33,34,,,,,,,,,,,,,,,,,,,,-2.74614+54.9227i,,,,,,,,,,,,,,2.77085-55.417i,,,,,
34,35,,,,,,,,,,,,,,,,,,,,,,68.2245i,,,,,,,,,,,,,-69.9301i,,,,
35,36,,,,,,,,,,,,,,,,,,,,,,,-0.675594+36.7523i,,,,,,,,,,,,,0.675594-36.7523i,,,
36,37,,,,,,,,,,,,,,,,,,,,,,,,,-1.08683+42.024i,,,,,,,,,,,,1.114-43.0746i,,
37,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.19872+62.375i,,,,,,,,,3.27869-63.9344i,
38,39,-1.59744+39.9361i,,,,,,,,-1.59744+39.9361i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19489-78.8972i
